,ID,STATION_NAME,RIVER_BASIN,COUNTY,LONGITUDE,LATITUDE,ELEVATION,OPERATOR
310,MVD,MUCK VALLEY DIVERSION (PG&E),PIT R,SHASTA,-121.155,41.015,4300,Pacific Gas & Electric
311,NCS,NEWCASTLE-PINEVIEW SCHOOL,AMERICAN R,PLACER,-121.135,38.874,890,City of Roseville
312,NFR,NORTH FORK R S,SAN JOAQUIN R,MADERA,-119.5,37.233,2630,US Forest Service
313,NHG,NEW HOGAN LAKE,CALAVERAS R,CALAVERAS,-120.812,38.152,554,US Army Corps of Engineers
314,NHW,NEW HOGAN WEATHER,CALAVERAS R,CALAVERAS,-120.8156,38.1508,554,US Army Corps of Engineers
315,NLS,NOEL SPRING,STONY CR,GLENN,-122.667,39.538,5100,US Army Corps of Engineers
316,NML,NEW MELONES RESERVOIR,STANISLAUS R,CALAVERAS,-120.525,37.9481,1135,US Bureau of Reclamation
317,NMS,NEW MELONES,STANISLAUS R,CALAVERAS,-120.525,37.948,1400,US Bureau of Reclamation
318,NSN,NORTH SAN ANDREAS,SAN MATEO CREEK,SAN MATEO,-122.443,37.612,617,San Francisco PUC
319,NTP,NATURE POINT,SAN JOAQUIN R,MADERA,-119.36,37.342,5150,US Bureau of Reclamation
320,NVD,NEVADA CITY,YUBA R,NEVADA,-121.001,39.25,2781,Nevada County
321,ODA,ORINDA FIRE STATION 43,EAST BAY,CONTRA COSTA,-122.170402,37.899588,700,Contra Costa County
322,ODL,OAKDALE (CIMIS 194),SAN JOAQUIN R,STANISLAUS,-120.85086000000001,37.727194,165,CA Dept of Water Resources/South Central Region Office
323,OGC,ORANGE COVE (CIMIS 142),KINGS R,FRESNO,-119.38903,36.721083,450,CA Dept of Water Resources/South Central Region Office
324,OGO,OGO RANGER STATION,COTTONWOOD CR,SHASTA,-122.737,40.423,1300,CA Dept of Water Resources/Flood Management
325,OHD,OUR HOUSE DAM,YUBA R,YUBA,-120.9964,39.412,1960,CA Dept of Water Resources/Flood Management
326,OJA,OJAI,SAN ANTONIO CR (SOUTH COAST),VENTURA,-119.23,34.448,765,Ventura County
327,OKG,OAK GROVE,SANTA MARGARITA R,SAN DIEGO,-116.795,33.393,2752,US Forest Service
328,OKH,OAKHURST,FRESNO R,MADERA,-119.6758,37.3447,2360,US Army Corps of Engineers
329,OKN,O'KANE (BLUE LAKE),REDWOOD CR,HUMBOLDT,-123.81533799999998,40.905964000000004,850,USGS and DWR
330,OLS,KLAMATH RIVER AT ORLEANS,KLAMATH R,HUMBOLDT,-123.5345,41.303459000000004,430,USGS and DWR
331,OPS,OPENSHAW,COTTONWOOD CR,BUTTE,-121.63516100000001,39.589833,268,CAL FIRE
332,ORK,REDWOOD CREEK AT ORICK,REDWOOD CR,HUMBOLDT,-124.05118600000002,41.29929,36,USGS and DWR
333,ORO,OROVILLE DAM,FEATHER R,BUTTE,-121.493,39.54,900,CA Dept of Water Resources/O&M Oroville Field Division
334,OSO,OAKLAND SOUTH,EAST BAY,ALAMEDA,-122.1436,37.7881,1000,Oakland Fire Services Agency
335,OWN,OWENS CREEK DAM,MERCED R,MARIPOSA,-120.187,37.282,424,US Army Corps of Engineers
336,PAR,PARDEE,MOKELUMNE R,CALAVERAS,-120.85,38.25,568,East Bay Municipal Utility District
337,PAS,SALINAS RIVER AT PASO ROBLES,SALINAS R,SAN LUIS OBISPO,-120.684334,35.628582,700,USGS and DWR
338,PBM,PUTAH CK BLW DRY CK AT MIDDLETOWN,PUTAH CR,LAKE,-122.6153,38.76,1080,US Geological Survey
339,PCF,PACIFIC HOUSE (OBSERVER),AMERICAN R,EL DORADO,-120.5,38.765,3400,National Weather Service
340,PCK,PECKINPAH,SAN JOAQUIN R,MADERA,-119.458,37.25,5150,US Bureau of Reclamation
341,PCR,PINECREST (PG&E),STANISLAUS R,TUOLUMNE,-119.983,38.2,5600,Pacific Gas & Electric
342,PCV,PLACERVILLE,AMERICAN R,EL DORADO,-120.82,38.7,1850,National Weather Service
343,PDD,WALNUT CREEK AT PUDDINGSTONE DAM,SAN GABRIEL R,LOS ANGELES,-117.807,34.092,1030,.None Specified
344,PDE,PARADISE,FEATHER R,BUTTE,-121.6247,39.7536,1750,CA Dept of Water Resources/O&M Oroville Field Division
345,PDO,PUTAH DIVERSION OFFICE (PDO),PUTAH CR,SOLANO,-122.00351699999999,38.492016,175,Solano County Water Agency
346,PET,PETERSON FLAT,TRINITY R,TRINITY,-122.5277,41.3023,7150,US Bureau of Reclamation
347,PFH,PACIFIC HOUSE,AMERICAN R,EL DORADO,-120.5,38.76,3440,US Bureau of Reclamation
348,PFW,PINE FLAT WEATHER,KINGS R,FRESNO,-119.3369,36.8236,610,US Army Corps of Engineers
349,PIN,PINE GROVE,MOKELUMNE R,AMADOR,-120.633,38.4,2440,CA Dept of Water Resources/Flood Management
350,PIU,PIRU,SANTA CLARA R,VENTURA,-118.81,34.404,624,Ventura County
351,PKC,PIKE COUNTY,YUBA R,YUBA,-121.202,39.475,3714,US Forest Service
352,PKF,PARKFIELD,SALINAS R,MONTEREY,-120.432,35.899,1535,CAL FIRE
353,PLD,PILARCITOS DAM,SAN MATEO CREEK,SAN MATEO,-122.422,37.548,700,San Francisco PUC
354,PLM,PALM SPRINGS AIRPORT,WHITEWATER R,RIVERSIDE,-116.50360900000001,33.822224,474,National Weather Service
355,PLP,PILOT PEAK (DWR),FEATHER R,PLUMAS,-120.87777700000001,39.785892,6800,CA Dept of Water Resources/Operations and Maintenance
356,PNC,PINECREST-STRAWBERRY,STANISLAUS R,TUOLUMNE,-119.984,38.2,5620,Pacific Gas & Electric
357,PNF,PINE FLAT DAM,KINGS R,FRESNO,-119.325,36.833,970,US Army Corps of Engineers
358,PNT,PINEHURST,KINGS R,FRESNO,-119.0,36.68528,4060,US Forest Service
359,PR1,PIT #1 PH (PG&E),PIT R,SHASTA,-121.498,41.0,2880,Pacific Gas & Electric
360,PR3,PIT #3 PH (PG&E),PIT R,SHASTA,-121.747,40.998,2100,Pacific Gas & Electric
361,PR5,PIT #5 PH (PG&E),PIT R,LASSEN,-121.978,40.987,1458,Pacific Gas & Electric
362,PRD,PARADISE FIRE STATION,BUTTE CR,BUTTE,-121.617,39.75,1750,National Weather Service
363,PRR,PERRIS,SAN JACINTO R,RIVERSIDE,-117.183,33.858,1600,CA Dept of Water Resources/O&M Southern Field Division
364,PRT,PORTOLA,FEATHER R,PLUMAS,-120.467,39.8,4850,National Weather Service
365,PRY,PERRY RANCH,CALAVERAS R,CALAVERAS,-120.922,38.149,315,US Army Corps of Engineers
366,PSB,PASO ROBLES AIRPORT,SALINAS R,SAN LUIS OBISPO,-120.62611399999999,35.673054,836,National Weather Service
367,PSC,PASCOES,KERN R,TULARE,-118.35,35.967,9150,US Army Corps of Engineers
368,PSR,POISON RIDGE,SAN JOAQUIN R,MADERA,-119.52,37.403,6900,US Bureau of Reclamation
369,PT1,PIT R PH #1,PIT R,SHASTA,-121.5,41.0,2880,Pacific Gas & Electric
370,PT5,PIT R PH #5,PIT R,SHASTA,-121.983,40.983,1460,Pacific Gas & Electric
371,PTR,POINT REYES,COAST-MARIN,MARIN,-122.95,38.083,80,National Weather Service
372,PTV,POTTER VALLEY,RUSSIAN R,MENDOCINO,-123.1272,39.3644,1080,US Army Corps of Engineers
373,PUD,SAN DIMAS CK AT PUDDINGSTON DIVERSN,SAN GABRIEL R,LOS ANGELES,-117.782,34.121,1130,.None Specified
374,PVL,PRATTVILLE (PG&E),FEATHER R,PLUMAS,-121.157,40.209,4520,Pacific Gas & Electric
375,PVP,POTTER VALLEY PH,RUSSIAN R,MENDOCINO,-123.133,39.367,1020,Pacific Gas & Electric
376,PWS,PLACERVILLE WEATHER STATION,AMERICAN R,EL DORADO,-120.8243,38.69543,1858,CA Dept of Water Resources/Flood Management
377,QCY,QUINCY (DWR),FEATHER R,PLUMAS,-120.95,39.935,3408,CA Dept of Water Resources/Operations and Maintenance
378,QNC,QUINCY RS (USFS),FEATHER R,PLUMAS,-120.95,39.96,3420,US Forest Service
379,QRD,QUINCY RADIO STATION,FEATHER R,PLUMAS,-120.9475,39.9366,3420,National Weather Service
